id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11187767,Huge Seacliff Penthouse With Views,58242037,Jonathan,?,Seacliff,37.7796847,-122.5104717,Entire home/apt,400,2,3,6/25/2016,0.88,1,152
6938818,Best Secret in Town,36381578,Harris,?,Seacliff,37.78065902,-122.5056348,Private room,99,3,23,6/16/2016,1.85,2,187
9395222,"Ocean Beach, Lands End Escape",25963295,Tyler,?,Seacliff,37.78143337,-122.5051793,Entire home/apt,155,1,45,6/19/2016,5.87,1,167
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,?,Seacliff,37.78766423,-122.4891522,Entire home/apt,895,3,0,,,1,0
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,?,Seacliff,37.78213277,-122.4927303,Entire home/apt,195,2,4,6/22/2016,2.45,2,23
4781448,3 Bd 2.5 Ba Full Flat Condo w Views,13112558,Pam,?,Seacliff,37.7817965,-122.4924921,Entire home/apt,395,3,6,4/4/2016,0.55,1,5
1427660,Charming Studio Apt at Ocean Beach,2275604,Laurie,?,Seacliff,37.77523613,-122.5091375,Entire home/apt,150,2,236,6/24/2016,6.81,1,259
8087607,Single Room Beautiful Beach Condo,3264449,Keith,?,Seacliff,37.77531801,-122.5116206,Private room,79,1,0,,,1,0
9904485,Great Room!,13046907,John,?,Seacliff,37.78548686,-122.4880113,Private room,195,1,0,,,2,0
3168359,Charming & Private Ideal location,16071511,Jamie,?,Seacliff,37.77931904,-122.5096352,Entire home/apt,192,3,80,7/2/2016,3.55,2,128
10961737,Spacious 1bd with balcony,55986312,Djibril,?,Seacliff,37.78556601,-122.4887286,Private room,300,1,0,,,1,365
69681,Panorama Pacific View,127367,Annette,?,Seacliff,37.77706907,-122.5092319,Entire home/apt,325,18,5,3/24/2016,0.09,25,365
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,?,Seacliff,37.78156409,-122.4944245,Private room,85,3,36,6/16/2016,1.22,2,4
2134100,Ocean Beach hilltop cottage,10889606,Marty And Alexis,?,Seacliff,37.78388809,-122.5085568,Entire home/apt,135,1,176,6/6/2016,5.95,1,257
9824673,STUNNING HOUSE BY OCEAN BEACH -Long term 30+ days!,49499644,Denise,?,Seacliff,37.78180354,-122.5073274,Entire home/apt,175,30,4,6/15/2016,1.1,1,323
8001958,Ocean and park front panoramic view,24591867,Raul,?,Seacliff,37.78070781,-122.50916,Entire home/apt,150,1,0,,,1,2
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,?,Seacliff,37.78488608,-122.4928717,Private room,105,2,24,6/27/2016,3.12,1,34
5218679,"Edwardian condo, master bedroom",249857,Carissa,?,Haight Ashbury,37.7699475,-122.4481934,Private room,120,1,1,3/3/2016,0.25,2,0
8084655,Spacious Room in Victorian Mansion,22203902,Jeffrey,?,Haight Ashbury,37.77262253,-122.4481444,Private room,180,1,0,,,1,0
11169698,Heart of the Haight // Private Bed + Bath,1110816,Meredith,?,Haight Ashbury,37.76949656,-122.4531968,Private room,120,1,1,6/27/2016,1,1,4
1605483,"Cozy Blue Room: Haight, Central SF!",1125797,Siobhann,?,Haight Ashbury,37.76551046,-122.4494596,Private room,116,2,58,6/27/2016,1.98,1,349
6812162,1 bdrm in beautiful Victorian home,35662871,Julie,?,Haight Ashbury,37.76763219,-122.4500911,Private room,225,2,2,10/14/2015,0.21,1,0
1827776,Upper Terrace Cottage,9286303,RA Tahoe Rentals,?,Haight Ashbury,37.76661601,-122.4422782,Entire home/apt,258,3,1,3/26/2015,0.06,1,217
12857736,Master bedroom in modern apartment,70276952,Sofiane,?,Haight Ashbury,37.77614931,-122.4390722,Private room,150,1,16,6/21/2016,9.41,1,28
5320351,Cozy Private Room in NOPA Edwardian,4730499,Maryam,?,Haight Ashbury,37.77474826,-122.4421195,Private room,80,30,8,6/1/2016,0.73,1,317
3138935,"Central SF, Secluded 2BR Garden Apt",5391643,Dan,?,Haight Ashbury,37.77424379,-122.4515903,Entire home/apt,250,2,72,6/19/2016,2.83,1,297
10988856,"Cozy and bright! Steps from GG Park ""L""",57017267,Dimitry,?,Haight Ashbury,37.77522329,-122.4447156,Private room,79,1,3,6/8/2016,1.61,4,335
10733204,"Alamo Square, walk to everything SF",50333168,Ed,?,Haight Ashbury,37.77555304,-122.4419381,Private room,100,1,13,6/26/2016,2.64,1,342
911029,"Spectacular view, hilltop retreat",4888089,Dan,?,Haight Ashbury,37.76284012,-122.446241,Entire home/apt,325,4,55,5/14/2016,1.61,1,287
449532,Spencer House - Garden Room ,1877737,Cami And Carol,?,Haight Ashbury,37.77139484,-122.4405043,Private room,195,3,89,6/17/2016,1.78,5,362
8811090,3BR/2BA Cole Valley-public transit,13547554,Marie-Stephanie,?,Haight Ashbury,37.76248601,-122.4500171,Entire home/apt,590,7,0,,,1,0
5730174,Huge Victorian Room In the â¤ Of SF!,461851,Ryan,?,Haight Ashbury,37.76985913,-122.4418496,Private room,149,1,6,6/19/2016,0.65,2,314
2407670,"Heart of city, brand new, park view",2821521,Zach,?,Haight Ashbury,37.76966171,-122.4474764,Private room,120,1,146,5/20/2016,5.08,3,44
339544,Private Room w/Big Balcony + Garden,1131370,Gina,?,Haight Ashbury,37.77335167,-122.4459982,Private room,60,1,25,5/8/2016,0.7,3,71
1467233,Private BR near USF & GGate Park,692611,Liza,?,Haight Ashbury,37.77502135,-122.4495487,Private room,110,2,7,6/27/2016,0.2,1,52
11625548,"Bright, large NOPA apartment",428807,Anjelika,?,Haight Ashbury,37.7759342,-122.4446971,Entire home/apt,200,1,5,6/21/2016,4.29,1,4
3843704,Spacious room in center of the city,11158868,Andrew,?,Haight Ashbury,37.77464892,-122.4495674,Private room,95,10,0,,,1,0
191632,Private Entrance Garden Studio,583207,Maria,?,Haight Ashbury,37.77310912,-122.4497861,Entire home/apt,129,2,199,6/21/2016,3.35,1,104
1074231,Victorian Living in San Francisco,5909809,Purvi,?,Haight Ashbury,37.77300843,-122.449283,Entire home/apt,165,1,69,6/16/2016,1.8,1,283
11015836,"Cozy and comfortable by USF ""W""",57162650,Cora,?,Haight Ashbury,37.77522942,-122.4447414,Private room,79,1,1,6/4/2016,1,5,362
783149,Chic Modern Cole Valley Apartment ,4111317,Arnold & Amy,?,Haight Ashbury,37.76712266,-122.4487075,Entire home/apt,250,3,120,6/22/2016,3.04,1,336
859336,Spacious cozy bright apt. in Castro,4499134,Anka,?,Haight Ashbury,37.76897266,-122.4385464,Private room,135,2,135,6/16/2016,3.18,1,307
10042558,Classic Cole Valley Flat,5223683,Shaya,?,Haight Ashbury,37.76549782,-122.4480759,Entire home/apt,140,4,0,,,2,0
5762600,nice room in the upper haight,753943,Stephan,?,Haight Ashbury,37.77004289,-122.4457501,Private room,85,1,1,3/31/2015,0.07,2,0
1552454,"Serene, soaring views, near Haight",3861556,Shira,?,Haight Ashbury,37.76355857,-122.4453903,Entire home/apt,108,10,4,3/9/2014,0.12,1,182
749744,Unique Cole Valley Garden Retreat ,3940564,Camille,?,Haight Ashbury,37.7673859,-122.4493038,Entire home/apt,295,2,95,6/28/2016,2.25,2,292
5942800,At Home in Cole Valley,382474,Kyle,?,Haight Ashbury,37.7655239,-122.4513241,Entire home/apt,300,2,0,,,1,0
13590516,San Francisco's Most Elegant Home | 3 Bedroom,58586591,Daniel & Gabriela,?,Haight Ashbury,37.76729795,-122.4487613,Entire home/apt,434,3,0,,,1,309
4236576,Guest room Casa Fantistico ,15399047,Peter,?,Haight Ashbury,37.76106874,-122.4509159,Private room,150,1,2,6/30/2015,0.16,7,364
13316971,NoPA - Comfy Bedroom in Home | TV | Parking | Yard,70400368,Leslie,?,Haight Ashbury,37.77520119,-122.4380786,Private room,89,1,1,6/19/2016,1,4,73
1309496,Grand Edwardian Flat in Trendy NOPA,7118153,Roy,?,Haight Ashbury,37.77600613,-122.441163,Entire home/apt,260,3,13,6/5/2016,0.43,1,0
9218585,New & Modern Guest House in NOPA,102973,Brian,?,Haight Ashbury,37.77521787,-122.4410686,Entire home/apt,325,2,21,6/21/2016,2.81,2,73
12814696,"Sunny, spacious room in the Haight",28660491,Kate,?,Haight Ashbury,37.76828863,-122.4495198,Private room,60,1,0,,,1,0
7204489,Private Room in Charming Victorian,2581487,Natalie,?,Haight Ashbury,37.7720752,-122.4472482,Private room,124,2,1,9/18/2015,0.1,1,0
91957,Sunny SF Flat with 5*s 15% Tax Incd,495796,Joy,?,Haight Ashbury,37.76193577,-122.4492861,Entire home/apt,300,3,56,6/17/2016,0.97,1,289
4303248,Charming Studio in Cole Valley,22337067,Julien,?,Haight Ashbury,37.76423707,-122.4519931,Entire home/apt,210,3,11,6/26/2016,1.93,1,260
12042,Sunny/Sunset view room,21994,Aaron,?,Haight Ashbury,37.76894262,-122.4477822,Private room,89,7,5,10/18/2015,0.13,7,365
5762374,Private Room and Bath Near GG Park,22687150,Adam,?,Haight Ashbury,37.76872761,-122.4515732,Private room,110,1,66,5/29/2016,4.66,2,58
10926823,"7BR, No Min, Sole Backyard, SB50 HQ",51123429,Chris,?,Haight Ashbury,37.77099935,-122.4474976,Entire home/apt,7000,1,0,,,1,0
5196859,Haight Ashbury Edwardian condo: 1BD,249857,Carissa,?,Haight Ashbury,37.77088155,-122.4495655,Private room,120,1,40,6/11/2016,2.32,2,113
7763272,Haight Ashbury Castle,3116971,Missa,?,Haight Ashbury,37.77066911,-122.4454241,Private room,90,3,0,,,1,0
10480018,Cozy and comfortable studio,24464994,Christina,?,Haight Ashbury,37.76755439,-122.4452662,Entire home/apt,143,1,11,6/20/2016,2.06,1,3
2978994,San Francisco Best Views ,8136192,Craig,?,Haight Ashbury,37.76617574,-122.4426545,Private room,325,3,1,6/30/2014,0.04,1,0
7972343,Room Available in Cole Valley,1025733,Bill,?,Haight Ashbury,37.76455472,-122.4470073,Private room,110,1,2,12/6/2015,0.28,1,0
449539,Spencer House -Lil'Queen Anne Room,1877737,Cami And Carol,?,Haight Ashbury,37.77177797,-122.4399,Private room,165,3,108,6/17/2016,2.15,5,353
10043166,NEW 3-Bedroom SF Apartment,1821071,Ariel,?,Haight Ashbury,37.76482709,-122.4513141,Entire home/apt,400,2,4,5/16/2016,0.83,2,10
3333870,Cole Valley Smart and Stylish Suite,16831526,Nancy,?,Haight Ashbury,37.76350829,-122.4458448,Private room,150,2,69,6/28/2016,2.79,1,332
2272343,Gorgeous Large Victorian NOPA Home ,11601787,Rob,?,Haight Ashbury,37.77422489,-122.4462838,Entire home/apt,425,3,52,6/15/2016,1.79,1,138
8119550,Indulgent Victorian/â¤ Of SF 2bdrm,22890047,Danielle,?,Haight Ashbury,37.77161333,-122.4407231,Entire home/apt,243,2,32,6/8/2016,3.34,2,266
9972077,Luxury in Prime Central SF Location,47980391,Michael And Kraig,?,Haight Ashbury,37.76122501,-122.4509505,Entire home/apt,150,2,7,5/22/2016,1.58,1,200
1569288,2 Bedroom GG Park & Haight Ashbury,7173175,Marc & Kurt & MD  Minnie,?,Haight Ashbury,37.76828796,-122.453196,Entire home/apt,245,3,65,6/11/2016,1.9,2,96
2816626,Beautiful Victorian,6310896,Jenny,?,Haight Ashbury,37.76835879,-122.4481167,Entire home/apt,320,2,2,8/12/2014,0.09,1,224
8904701,Grand Modern Gallery Home,40963718,Blythe,?,Haight Ashbury,37.76407866,-122.4492561,Entire home/apt,2000,3,0,,,1,0
449528,Spencer House -The Farallon Room ,1877737,Cami And Carol,?,Haight Ashbury,37.77135819,-122.4394869,Private room,215,3,56,5/31/2016,1.15,5,365
11021851,"Fulton room close to everything ""T""",57164569,Kat,?,Haight Ashbury,37.77542116,-122.4461802,Private room,79,1,3,4/19/2016,0.93,4,361
4236507,Cole Valley Villas:  Garden Bedroom,15399047,Peter,?,Haight Ashbury,37.76065265,-122.4511972,Private room,99,1,0,,,7,364
449505,Spencer House - French Room,1877737,Cami And Carol,?,Haight Ashbury,37.77055772,-122.4397164,Private room,245,3,76,6/12/2016,1.54,5,362
4236563,Magnifico: Cole Valley Bedroom,15399047,Peter,?,Haight Ashbury,37.76066538,-122.4515114,Private room,99,1,1,3/21/2015,0.06,7,364
2072133,Bright Sunny room w/ amazing views,10594236,Margaret,?,Haight Ashbury,37.76587103,-122.443289,Private room,120,2,11,9/18/2015,0.39,1,365
2012500,Inviting NOPA Flat,10354038,Kara,?,Haight Ashbury,37.77331742,-122.443904,Entire home/apt,305,2,0,,,2,43
4182555,The Lady Di Annex,11792056,Chris,?,Haight Ashbury,37.77567376,-122.4408656,Entire home/apt,195,3,81,6/27/2016,3.93,2,267
1975404,Haight Owner-Designer Apt w/Parking,10197471,Paul,?,Haight Ashbury,37.7719075,-122.4391783,Entire home/apt,275,2,40,6/1/2016,1.31,1,29
8781629,Ashbury Heights Studio with Deck,18069846,Renee,?,Haight Ashbury,37.76807541,-122.4452056,Entire home/apt,150,2,9,6/17/2016,1.12,1,10
6415052,3 Bdrm Edwardian w/Views (on Hill),5537980,Chris,?,Haight Ashbury,37.76973891,-122.436951,Entire home/apt,350,5,3,6/15/2016,2,1,67
5204426,"4 BR, 2.5BA Family Friendly Home",17130018,Erik,?,Haight Ashbury,37.76465334,-122.4525681,Entire home/apt,600,3,2,11/29/2015,0.17,1,11
5846018,BEAUTIFUL 3 BR Apt in Cole Valley,17529757,Neha,?,Haight Ashbury,37.76649198,-122.4481342,Private room,100,14,0,,,1,0
9903763,Charming bedroom in the heart of SF,4647871,Saskia,?,Haight Ashbury,37.77545192,-122.4466015,Private room,110,2,10,6/23/2016,1.86,1,0
9251681,Entire Haight/Castro Apartment,370518,Brent,?,Haight Ashbury,37.77103356,-122.4378188,Entire home/apt,169,3,9,3/30/2016,1.17,2,4
